First,Year,Authors,,,,,,,,,
Bettaieb,2014,"Bettaieb, J. and Toumi, A. and Chlif, S. and Chelghaf, B. and Boukthir, A. and Gharbi, A. and Ben Salah, A.",,,,,,,,,
Bezerra,2018,"Bezerra, C. M. and Barbosa, S. E. and de Souza, R. D. M. and Barezani, C. P. and Gurtler, R. E. and Ramos, A. N. and Diotaiuti, L.",,,,,,,,,
Bezerra,2014,"Bezerra, C. M. and Cavalcanti, L. P. D. and de Souza, R. D. M. and Barbosa, S. E. and Xavier, S. C. D. and Jansen, A. M. and Ramalho, R. D. and Diotaiuti, L.",,,,,,,,,
Bhattarai,2009,"Bhattarai, N. R. and Das, M. L. and Rijal, S. and van der Auwera, G. and Picado, A. and Khanal, B. and Roy, L. and Speybroeck, N. and Berkvens, D. and Davies, C. R. and Coosemans, M. and Boelaert, M. and Dujardin, J. C.",,,,,,,,,
Bhattarai,2010,"Bhattarai, N. R. and Van der Auwera, G. and Rijal, S. and Picado, A. and Speybroeck, N. and Khanal, B. and De Doncker, S. and Das, M. L. and Ostyn, B. and Davies, C. and Coosemans, M. and Berkvens, D. and Boelaert, M. and Dujardin, J. C.",,,,,,,,,
Bhutto,2010,"Bhutto, B. and Gadahi, J. A. and Shah, G. and Dewani, P. and Arijo, A. G.",,,,,,,,,
Bigeli,2012,"Bigeli, J. G. and de Oliveira, W. P. and Teles, N. M. M.",,,,,,,,,
Bilgin,2015,"Bilgin, Z. and Turan, N. and Yilmaz, H. and Ferroglio, E. and Tuzer, E.",,,,,,,,,
Birhanu,2015,"Birhanu, H. and Fikru, R. and Said, M. and Kidane, W. and Gebrehiwot, T. and Hagos, A. and Alemu, T. and Dawit, T. and Berkvens, D. and Goddeeris, B. M. and Buscher, P.",,,,,,,,,
Biryomumaisho,2013,"Biryomumaisho, S. and Rwakishaya, E. K. and Melville, S. E. and Cailleau, A. and Lubega, G. W.",,,,,,,,,
Biswas,2018,"Biswas, D. and Dolai, S. and Chowdhury, J. and Roy, P. K. and Grigorieva, E. V.",,,,,,,,,
Bitew,2011,"Bitew, M. and Amedie, Y. and Abebe, A. and Tolosa, T.",,,,,,,,,
Bizhga,2013,"Bizhga, B. and Laci, D. and Dhamo, G. and Keci, R. and Belegu, K. and Bakiasi, I. and Turmalaj, L.",,,,,,,,,
Bolukbas,2016,"Bolukbas, C. S. and Pekmezci, G. Z. and Gurler, A. T. and Pekmezci, D. and Guzel, M. and Hokelek, M. and Acici, M. and Umur, S.",,,,,,,,,
Bonfante-Cabarcas,2011,"Bonfante-Cabarcas, R. and Rodriguez-Bonfante, C. and Vielma, B. O. and Garcia, D. and Saldivia, A. M. and Aldana, E. and Curvelo, J. L. C.",,,,,,,,,
Borges,2014,"Borges, Lfnm and Lopes, E. G. P. and de Freitas, A. C. P. and Silva, M. X. and Haddad, J. P. A. and da Silva, J. A. and Nicolino, R. R. and Soares, D. F. D.",,,,,,,,,
Borghesan,Na,"Borghesan, T. C. and Campaner, M. and Matsumoto, T. E. and Espinosa, O. A. and Razafindranaivo, V. and Paiva, F. and Carranza, J. C. and Añez, N. and Neves, L. and Teixeira, M. M. G. and Camargo, E. P.",,,,,,,,,
Borji,2009,"Borji, H. and Razmi, G. and Par and eh, S.",,,,,,,,,
Botero,2013,"Botero, A. and Thompson, C. K. and Peacock, C. S. and Clode, P. L. and Nicholls, P. K. and Wayne, A. F. and Lymbery, A. J. and Thompson, R. C. A.",,,,,,,,,
Botto-Mahan,2012,"Botto-Mahan, C. and Bacigalupo, A. and Correa, J. P. and Oda, E. and Solari, A.",,,,,,,,,
Botto-Mahan,2015,"Botto-Mahan, C. and Rojo, G. and S and oval-Rodriguez, A. and Pena, F. and Ortiz, S. and Solari, A.",,,,,,,,,
Boushaki,2019,"Boushaki, D. and Adel, A. and Dia, M. L. and Buscher, P. and Madani, H. and Brihoum, B. A. and Sadaoui, H. and Bouayed, N. and Issad, N. K.",,,,,,,,,
Bovone,2005,"Bovone, N. S. and Fuente, M. C. and Eposto, M. O. and Londero, P.",,,,,,,,,
Bradley,2000,"Bradley, K. K. and Bergman, D. K. and Woods, J. P. and Crutcher, J. M. and Kirchhoff, L. V.",,,,,,,,,
Braga,2014,"Braga, A. R. C. and Correa, Apfl and Camossi, L. G. and da Silva, R. C. and Langoni, H. and Lucheis, S. B.",,,,,,,,,
Brasil,2018,"Brasil, A. W. D. and Machado, D. M. R. and da Silva, Marx and Barrosa, N. D. and Silva, R. B. S. and de Melo, M. A. and Langoni, H. and Santos, Cdab and de Azevedo, S. S.",,,,,,,,,
Bravo-Barriga,2016,"Bravo-Barriga, D. and Parreira, R. and Maia, C. and Afonso, M. O. and Blanco-Ciudad, J. and Serrano, F. J. and Perez-Martin, J. E. and Gomez-Gordo, L. and Campino, L. and Reina, D. and Frontera, E.",,,,,,,,,
Bray,2007,"Bray, D. P. and Bown, K. J. and Stockley, P. and Hurst, J. L. and Bennett, M. and Birtles, R. J.",,,,,,,,,
Breniere,2012,"Breniere, S. F. and Aliaga, C. and Waleckx, E. and Buitrago, R. and Salas, R. and Barnabe, C. and Tibayrenc, M. and Noireau, F.",,,,,,,,,
Brigada,2010,"Brigada, A. M. and Dona, R. and Caviedes-Vidal, E. and Moretti, E. and Basso, B.",,,,,,,,,
Brito,2016,"Brito, F. G. and Langoni, H. and da Silva, R. C. and Rotondano, T. E. D. and de Melo, M. A. and da Paz, G. S.",,,,,,,,,
Brown,2010,"Brown, E. L. and Roellig, D. M. and Gompper, M. E. and Monello, R. J. and Wenning, K. M. and Gabriel, M. W. and Yabsley, M. J.",,,,,,,,,
Bsrat,2015,"Bsrat, A. and Berhe, N. and Balkew, M. and Yohannes, M. and Teklu, T. and Gadisa, E. and Medhin, G. and Abera, A.",,,,,,,,,
Buechel,2016,"Buechel, S. D. and Schmid-Hempel, P.",,,,,,,,,
Buendia,2018,"Buendia, M. and Martin-Hern and ez, R. and Ornosa, C. and Barrios, L. and Bartolome, C. and Higes, M.",,,,,,,,,
Buhaya,2015,"Buhaya, M. H. and Galvan, S. and Maldonado, R. A.",,,,,,,,,
Bustamante,2014,"Bustamante, D. M. and De Urioste-Stone, S. M. and Juarez, J. G. and Pennington, P. M.",,,,,,,,,
Cadioli,2012,"Cadioli, F. A. and Barnabe, P. D. and Machado, R. Z. and Teixeira, M. C. A. and Andre, M. R. and Sampaio, P. H. and Fidelis, O. L. and Teixeira, M. M. G. and Marques, L. C.",,,,,,,,,
Cai,2019,"Cai, Y. and Wang, X. and Zhang, N. and Li, J. and Gong, P. and He, B. and Zhang, X.",,,,,,,,,
Caldart,2015,"Caldart, E. T. and Constantino, C. and Pasquali, A. K. S. and Benitez, A. D. and Hamada, F. N. and Dias, R. C. F. and Rorato-Nascimento, A. M. and Marana, E. R. M. and Navarro, I. T. and Mascarenhas, N. M. F. and de Freitas, J. C. and Freire, R. L.",,,,,,,,,
Caldart,2017,"Caldart, E. T. and Freire, R. L. and Ferreira, F. P. and Ruffolo, B. B. and Sbeghen, M. R. and Mareze, M. and Garcia, J. L. and Mitsuka-Bregano, R. and Navarro, I. T.",,,,,,,,,
Calzada,2015,"Calzada, J. E. and Saldana, A. and Gonzalez, K. and Rigg, C. and Pineda, V. and Santamaria, A. M. and Rodriguez, I. and Gottdenker, N. L. and Laurenti, M. D. and Chaves, L. F.",,,,,,,,,
Camejo,2016,"Camejo, M. I. and Aso, P. M. and Gonzatti, M. I. and Perez-Rojas, Y.",,,,,,,,,
Can,2016,"Can, H. and Doskaya, M. and Ozdemir, H. G. and Sahar, E. A. and Karakavuk, M. and Pektas, B. and Karakus, M. and Toz, S. and Caner, A. and Doskaya, A. D. and Iz, S. G. and Ozbel, Y. and Guruz, Y.",,,,,,,,,
Cardia,2013,"Cardia, D. F. F. and Camossi, L. G. and Neto, L. D. and Langoni, H. and Bresciani, K. D. S.",,,,,,,,,
Cardinal,2006,"Cardinal, M. V. and Castanera, M. B. and Lauricella, M. A. and Cecere, M. C. and Ceballos, L. A. and Vazquez-Prokopec, G. M. and Kitron, U. and Gurtler, R. E.",,,,,,,,,
Cardinal,2014,"Cardinal, M. V. and Orozco, M. M. and Enriquez, G. F. and Ceballos, L. A. and Gaspe, M. S. and Alvarado-Otegui, J. A. and Gurevitz, J. M. and Kitron, U. and Gurtler, R. E.",,,,,,,,,
Cardoso,2015,"Cardoso, L. and Gilad, M. and Cortes, H. C. E. and Nachum-Biala, Y. and Lopes, A. P. and Vila-Vicosa, M. J. and Simoes, M. and Rodrigues, P. A. and Baneth, G.",,,,,,,,,
Cardoso,2010,"Cardoso, L. and Lopes, A. P. and Sherry, K. and Schallig, H. and Solano-Gallego, L.",,,,,,,,,
Cardoso,2004,"Cardoso, L. and Rodrigues, M. and Santos, H. and Schoone, G. J. and Carreta, P. and Varejao, E. and van Benthem, B. and Afonso, M. O. and Alves-Pires, C. and Semiao-Santos, S. J. and Rodrigues, J. and Schallig, Hdfh",,,,,,,,,
Cardoso,2004,"Cardoso, L. and Schallig, Hdfh and Neto, F. and Kroon, N. and Rodrigues, M.",,,,,,,,,
Cardoso,2015,"Cardoso, R. M. and de Araujo, Nnsl and Romero, G. A. S. and Souza, Ttcm and Dietrich, A. G. and Mendes, J. D. and Reis, M. L. and Ferreira, J. B. C. and Hecht, M. M. and Gurgel-Goncalves, R.",,,,,,,,,
Carhuallanqui,2017,"Carhuallanqui, A. and Chavez, A. and Pinedo, R.",,,,,,,,,
Carleton,2012,"Carleton, R. E. and Mertins, J. W. and Yabsley, M. J.",,,,,,,,,
