First,Year,Authors,,,,,,,,,
Figueiredo,2016,"Figueiredo, F. B. and Nascimento, L. D. and de Vasconcelos, T. C. B. and Madeira, M. D. and Confort, E. M. and Schubach, Tmvp",,,,,,,,,
Fikru,2015,"Fikru, R. and Andualem, Y. and Getachew, T. and Menten, J. and Hasker, E. and Merga, B. and Goddeeris, B. M. and Buscher, P.",,,,,,,,,
Fikru,2012,"Fikru, R. and Goddeerisc, B. M. and Delespaux, V. and Moti, Y. and Tadesse, A. and Bekana, M. and Claes, F. and De Deken, R. and Buscher, P.",,,,,,,,,
Fokin,2014,"Fokin, S. I. and Schrallhammer, M. and Chiellini, C. and Verni, F. and Petroni, G.",,,,,,,,,
Fouks,2011,"Fouks, B. and Lattorff, H. M. G.",,,,,,,,,
Fraga,2016,"Fraga, D. B. M. and Pacheco, L. V. and Borja, L. S. and Tuy, Pgde and Bastos, L. A. and Solca, M. D. and Amorim, Ldaf and Veras, P. S. T.",,,,,,,,,
França-Silva,Na,"França-Silva, J. C. and Da Costa, R. T. and Siqueira, A. M. and Machado-Coelho, G. L. L. and Da Costa, C. A. and Mayrink, W. and Vieira, E. P. and Costa, J. S. and Genaro, O. and Nascimento, E.",,,,,,,,,
Freitas,2002,"Freitas, R. A. and Naiff, R. D. and Barrett, T. V.",,,,,,,,,
Freitas,2018,"Freitas, Y. B. N. and de Souza, C. D. F. and Magalhaes, J. M. E. and de Sousa, M. L. R. and d'Escoffier, L. N. and do Valle, T. Z. and Goncalves, T. C. M. and Gil-Santana, H. R. and Kazimoto, T. A. and Amora, S. S. A.",,,,,,,,,
Fujimori,2016,"Fujimori, M. and de Almeida, Adpf and Dias, Aflr and Rodrigues, J. Y. and Nakazato, L. and Madeira, M. D. and Sousa, V. R. F.",,,,,,,,,
Fuxa,2000,"Fuxa, J. E. and Fuxa, J. R. and Richter, A. R. and Weidner, E. H.",,,,,,,,,
Galaviz-Silva,2017,"Galaviz-Silva, L. and Mercado-Hern and ez, R. and Zarate-Ramos, J. J. and Molina-Garza, Z. J.",,,,,,,,,
Galvez,2010,"Galvez, R. and Miro, G. and Descalzo, M. A. and Nieto, J. and Dado, D. and Martin, O. and Cubero, E. and Molina, R.",,,,,,,,,
Galvis-Ovallos,2017,"Galvis-Ovallos, F. and Casanova, C. and Seva, A. D. and Galati, E. A. B.",,,,,,,,,
Gao,2015,"Gao, C. H. and Ding, D. and Wang, J. Y. and Steverding, D. and Wang, X. and Yang, Y. T. and Shi, F.",,,,,,,,,
Garcia,2006,"Garcia, H. and Garcia, M. E. and Perez, G. and Bethencourt, A. and Zerpa, E. and Perez, H. and Mendoza-Leon, A.",,,,,,,,,
Garcia,2009,"Garcia, H. and Rangel-Rivas, A. and Contreras, I. and Garcia, M. E. and Garcia, F. and Perrone, T.",,,,,,,,,
Garcia,2018,"Garcia, H. A. and Rodrigues, C. M. F. and Rodrigues, A. C. and Pereira, D. L. and Pereira, C. L. and Camargo, E. P. and Hamilton, P. B. and Teixeira, M. M. G.",,,,,,,,,
Garcia,2016,"Garcia, M. N. and O’Day, S. and Fisher-Hoch, S. and Gorchakov, R. and Patino, R. and Feria Arroyo, T. P. and Laing, S. T. and Lopez, J. E. and Ingber, A. and Jones, K. M. and Murray, K. O.",,,,,,,,,
García,Na,"García, N. and Moreno, I. and Alvarez, J. and De La Cruz, M. L. and Navarro, A. and Pérez-Sancho, M. and García-Seco, T. and Rodríguez-Bertos, A. and Conty, M. L. and Toraño, A. and Prieto, A. and Domínguez, L. and Domínguez, M.",,,,,,,,,
Gari,2010,"Gari, F. R. and Ashenafi, H. and Tola, A. and Goddeeris, B. M. and Claes, F.",,,,,,,,,
Garvin,2004,"Garvin, M. C. and Marra, P. P. and Crain, S. K.",,,,,,,,,
Garvin,2006,"Garvin, M. C. and Szell, C. C. and Moore, F. R.",,,,,,,,,
Gavgani,2002,"Gavgani, A. S. M. and Mohite, H. and Edrissian, G. H. and Mohebali, M. and Davies, C. R.",,,,,,,,,
Gebre-Michael,2004,"Gebre-Michael, T. and Balkew, M. and Ali, A. and Ludovisi, A. and Gramiccia, M.",,,,,,,,,
Ghaemi,2019,"Ghaemi, M. and Zavarib, A. and Pirouz, H. J.",,,,,,,,,
Ghawar,2014,"Ghawar, W. and Attia, H. and Bettaieb, J. and Yazidi, R. and Laouini, D. and Ben Salah, A.",,,,,,,,,
Ghawar,2011,"Ghawar, W. and Toumi, A. and Snoussi, M. A. and Chlif, S. and Zaatour, A. and Boukthir, A. and Hamida, N. B. H. and Chemkhi, J. and Diouani, M. F. and Ben-Salah, A.",,,,,,,,,
Giannakopoulos,2017,"Giannakopoulos, A. and Tsokana, C. N. and Papadopoulos, E. and Spyrou, V. and Chatzopoulos, D. C. and Valiakos, G. and Touloudi, A. and Athanasiou, L. V. and Billinis, C.",,,,,,,,,
Gicheru,2009,"Gicheru, M. M. and Jeneby, M. M. and Macharia, J. C. and Carlsson, H. E. and Suleman, M. A.",,,,,,,,,
Gillespie,2010,"Gillespie, S.",,,,,,,,,
Gillingwater,2010,"Gillingwater, K. and Mamabolo, M. V. and Majiwa, P. A. O.",,,,,,,,,
Giorgobiani,2011,"Giorgobiani, E. and Chitadze, N. and Chanturya, G. and Grdzelidze, M. and Jochim, R. C. and Machablishvili, A. and Tushishvili, T. and Zedginidze, Y. and Manjgaladze, M. K. and Iashvili, N. and Makharadze, M. P. and Zakaraya, T. and Kikaleishvili, K. and Markhvashvili, I. and Badashvili, G. and Daraselia, T. and Fay, M. P. and Kamhawi, S. and Sacks, D.", G. and Daraselia, T. and Fay, M. P. and Kamhawi, S. and Sacks, D.,,,,
Gizzarelli,2019,"Gizzarelli, M. and Manzillo, V. F. and Ciuca, L. and Morgoglione, M. E. and Ben Fayala, N. E. and Cringoli, G. and Oliva, G. and Rinaldi, L. and Maurelli, M. P.",,,,,,,,,
Godoi,2002,"Godoi, M. M. I. and Serrano, M. G. and Teixeira, M. M. G. and Camargo, E. P.",,,,,,,,,
Gomez-Hern and ez,2008,"Gomez-Hern and ez, C. and Rezende-Oliveira, K. and Zarate, A. C. and Zarate, E. C. and Trujillo-Contreras, F. and Ramirez, L. E.",,,,,,,,,
Goncalves,2009,"Goncalves, T. C. M. and Freitas, A. L. C. and Freitas, S. P. C.",,,,,,,,,
Gontijo,2002,"Gontijo, C. M. F. and da Silva, E. S. and de Fuccio, M. B. and de Sousa, M. C. A. and Pacheco, R. S. and Dias, E. S. and Filho, J. D. A. and Brazil, R. P. and Melo, M. N.",,,,,,,,,
Gonzales,2007,"Gonzales, J. L. and Chacon, E. and Mir and a, M. and Loza, A. and Siles, L. M.",,,,,,,,,
Goossens,2006,"Goossens, B. and Mbwambo, H. and Msangi, A. and Geysen, D. and Vreysen, M.",,,,,,,,,
Gorchakov,2016,"Gorchakov, R. and Trosclair, L. P. and Wozniak, E. J. and Feria, P. T. and Garcia, M. N. and Gunter, S. M. and Murray, K. O.",,,,,,,,,
Gotsch,2009,"Gotsch, S. and Leschnik, M. and Duscher, G. and Burgstaller, J. P. and Wille-Piazzai, W. and Joachim, A.",,,,,,,,,
Goulson,2018,"Goulson, D. and O'Connor, S. and Park, K. J.",,,,,,,,,
Goulson,2012,"Goulson, D. and Whitehorn, P. and Fowley, M.",,,,,,,,,
Graystock,2014,"Graystock, P. and Goulson, D. and Hughes, W. O. H.",,,,,,,,,
Grijalva,2003,"Grijalva, M. J. and Escalante, L. and Paredes, R. A. and Costales, J. A. and Padilla, A. and Rowl and , E. C. and Aguilar, H. M. and Racines, J.",,,,,,,,,
Grijalva,2015,"Grijalva, M. J. and Villacis, A. G. and Ocana-Mayorga, S. and Yumiseva, C. A. and Moncayo, A. L. and Baus, E. G.",,,,,,,,,
Grisard,2000,"Grisard, E. C. and Carvalho-Pinto, C. J. and Scholz, A. F. and Toma, H. K. and Schlemper, B. R. and Steindel, M.",,,,,,,,,
Grybchuk-Ieremenko,2014,"Grybchuk-Ieremenko, A. and Losev, A. and Kostygov, A. Y. and Lukes, J. and Yurchenko, V.",,,,,,,,,
Guedegbe,1992,"Guedegbe, B. and Verhulst, A. and Vanmeirvenne, N. and P and ey, V. S. and Doko, A.",,,,,,,,,
Guerbouj,2014,"Guerbouj, S. and Djilani, F. and Bettaieb, J. and Lambson, B. and Diouani, M. F. and Ben Salah, A. and Ben Ismail, R. and Guizani, I.",,,,,,,,,
Guerra,2013,"Guerra, N. R. and Monteiro, M. F. M. and S and es, H. M. M. and da Cruz, N. L. N. and Ramos, C. A. N. and Santana, V. L. D. and de Souza, M. M. A. and Alves, L. C.",,,,,,,,,
Guimaraes,2005,"Guimaraes, K. S. and Batista, Z. S. and Dias, E. L. and Guerra, Rmsnc and Costa, A. D. C. and Oliveira, A. S. and Calabrese, K. S. and Cardoso, F. O. and Souza, C. S. F. and do Vale, T. Z. and da Costa, S. C. G. and Abreu-Silva, A. L.",,,,,,,,,
Gunasekara,2019,"Gunasekara, E. and Sivakumar, T. and Kothalawala, H. and Abeysekera, T. S. and Weerasingha, A. S. and Vimalakumar, S. C. and Kanagaratnam, R. and Yapa, P. R. and Zhyldyz, A. and Igarashi, I. and Silva, S. S. P. and Yokoyama, N.",,,,,,,,,
Gurtler,1996,"Gurtler, R. E. and Cecere, M. C. and Castanera, M. B. and Canale, D. and Lauricella, M. A. and Chuit, R. and Cohen, J. E. and Segura, E. L.",,,,,,,,,
Gürtler,2007,"Gürtler, R. E. and Cecere, M. C. and Lauricella, M. A. and Cardinal, M. V. and Kitron, U. and Cohen, J. E.",,,,,,,,,
Gutierrez,2000,"Gutierrez, C. and Juste, M. C. and Corbera, J. A. and Magnus, E. and Verloo, D. and Montoya, J. A.",,,,,,,,,
Haas,2012,"Haas, M. and Lukan, M. and Kiskova, J. and Hrehova, Z.",,,,,,,,,
Haenen,2010,"Haenen, O. L. M. and Lehmann, J. and Engelsma, M. Y. and Sturenberg, F. J. and Roozenburg, I. and Kerkhoff, S. and Breteler, J. K.",,,,,,,,,
Hagos,2010,"Hagos, A. and Abebe, G. and Buscher, P. and Goddeeris, B. M. and Claes, F.",,,,,,,,,
Hagos,2010,"Hagos, A. and Degefa, G. and Yacob, H. and Fikru, R. and Alemu, T. and Feseha, G. and Claes, F. and Goddeeris, B. M.",,,,,,,,,
Haji,2014,"Haji, I. J. and Malele, I. and Namangala, B.",,,,,,,,,
Haji,2015,"Haji, I. J. and Sugimoto, C. and Kajino, K. and Malele, I. and Simukoko, H. and Chitambo, H. and Namangala, B.",,,,,,,,,
Hall,2007,"Hall, C. A. and Polizzi, C. and Yabsley, M. J. and Norton, T. M.",,,,,,,,,
Hamad,2015,"Hamad, I. and Forestier, C. L. and Peeters, M. and Delaporte, E. and Raoult, D. and Bittar, F.",,,,,,,,,
Hamarsheh,2012,"Hamarsheh, O. and Nasereddin, A. and Damaj, S. and Sawalha, S. and Al-Jawabreh, H. and Azmi, K. and Amro, A. and Ereqat, S. and Abdeen, Z. and Al-Jawabreh, A.",,,,,,,,,
Hamel,2011,"Hamel, D. and Rohrig, E. and Pfister, K.",,,,,,,,,
Hamel,2016,"Hamel, D. and Shukullari, E. and Rapti, D. and Silaghi, C. and Pfister, K. and Rehbein, S.",,,,,,,,,
Hamill,2017,"Hamill, L. and Picozzi, K. and Fyfe, J. and von Wissmann, B. and Wastling, S. and Wardrop, N. and Selby, R. and Acup, C. A. and Bardosh, K. L. and Muhanguzi, D. and Kabasa, J. D. and Waiswa, C. and Welburn, S. C.",,,,,,,,,
Hamill,2013,"Hamill, L. C. and Kaare, M. T. and Welburn, S. C. and Picozzi, K.",,,,,,,,,
Hancock,2005,"Hancock, K. and Zajac, A. M. and Pung, O. J. and Elvinger, F. and Rosypal, A. C. and Lindsay, D. S.",,,,,,,,,
Hanel,2016,"Hanel, J. and Dolezalova, J. and Stehlikova, S. and Modry, D. and Chudoba, J. and Synek, P. and Votypka, J.",,,,,,,,,
Hassan,2009,"Hassan, M. M. and Osman, O. F. and El-Raba'a, F. M. A. and Schallig, Hdfh and Elnaiem, D. E. A.",,,,,,,,,
Hern and ez,2016,"Hern and ez, C. and Salazar, C. and Brochero, H. and Teheran, A. and Buitrago, L. S. and Vera, M. and Soto, H. and Florez-Rivadeneira, Z. and Ardila, S. and Parra-Henao, G. and Ramirez, J. D.",,,,,,,,,
Herrera,2015,"Herrera, C. P. and Licon, M. H. and Nation, C. S. and Jameson, S. B. and Wesson, D. M.",,,,,,,,,
Herrera,2017,"Herrera, E. A. and Castro, Y.",,,,,,,,,
Herrera,2005,"Herrera, L. and D'Andrea, P. S. and Xavier, S. C. C. and Mangia, R. H. and Fern and es, O. and Jansen, A. M.",,,,,,,,,
Herrera,2009,"Herrera, M. and Soto, A. and Urrego, V. and Rivera, G. and Zapata, M. and Rios, L.",,,,,,,,,
Heusser,2010,"Heusser, A. and Bellato, V. and de Souza, A. P. and de Moura, A. B. and Sartor, A. A. and Santos, Egob and Silva, V. L.",,,,,,,,,
Hirsch,2008,"Hirsch, M. and Pantchev, N.",,,,,,,,,
Hodo,2016,"Hodo, C. L. and Goodwin, C. C. and Mayes, B. C. and Mariscal, J. A. and Waldrup, K. A. and Hamer, S. A.",,,,,,,,,
Hodo,2019,"Hodo, C. L. and Rodriguez, J. Y. and Curtis-Robles, R. and Zecca, I. B. and Snowden, K. F. and Cunnnnings, K. J. and Hamer, S. A.",,,,,,,,,
Hodzic,2018,"Hodzic, A. and Mrowietz, N. and Cezanne, R. and Bruckschwaiger, P. and Punz, S. and Habler, V. E. and Tomsik, V. and Lazar, J. and Duscher, G. G. and Glawischnig, W. and Fuehrer, H. P.",,,,,,,,,
Hofmann,2019,"Hofmann, M. and Hodzic, A. and Pouliou, N. and Joachim, A.",,,,,,,,,
Holl and ,2004,"Holl and , W. G. and Thanh, N. G. and My, L. N. and Do, T. T. and Goddeeris, B. M. and Vercruysse, J.",,,,,,,,,
Holmstad,2003,"Holmstad, P. R. and Anwar, A. and Lezhova, T. and Skorping, A.",,,,,,,,,
Hopkins,1998,"Hopkins, J. S. and Chitambo, H. and Machila, N. and Luckins, A. G. and Rae, P. F. and van den Bossche, P. and Eisler, M. C.",,,,,,,,,
Hopkins,2019,"Hopkins, T. and Gonçalves, R. and Mamani, J. and Courtenay, O. and Bern, C.",,,,,,,,,
Hosseininejad,2012,"Hosseininejad, M. and Mohebali, M. and Hosseini, F. and Karimi, S. and Sharifzad, S. and Akhoundi, B.",,,,,,,,,
Houk,2010,"Houk, A. E. and Goodwin, D. G. and Zajac, A. M. and Barr, S. C. and Dubey, J. P. and Lindsay, D. S.",,,,,,,,,
Hubalek,2003,"Hubalek, Z. and Stunzner, D. and Halouzka, J. and Sixl, W. and Wendelin, I. and Juricova, Z. and Sanogo, Y. O.",,,,,,,,,
Hussain,2016,"Hussain, M. and Saeed, Z. and Gulsher, M. and Shaikh, R. S. and Ali, M. and Ahmad, A. N. and Hussain, I. and Akhtar, M. and Iqbal, F.",,,,,,,,,
Hussain,2016,"Hussain, M. and Saeed, Z. and Gulsher, M. and Shaikh, R. S. and Ali, M. and Akhtar, M. and Iqbal, F.",,,,,,,,,
Hussain,2018,"Hussain, R. and Khan, A. and Jahanzaib and Qayyum, A. and Abbas, T. and Ahmad, M. and Mohiuddin, M. and Mehmood, K.",,,,,,,,,
Isaac,2016,"Isaac, C. and Ciosi, M. and Hamilton, A. and Scullion, K. M. and Dede, P. and Igbinosa, I. B. and Nmorsi, O. P. G. and Masiga, D. and Turner, C. M. R.",,,,,,,,,
Jabal-Uriel,Na,"Jabal-Uriel, C. and Martín-Hernández, R. and Ornosa, C. and Higes, M. and Berriatúa, E. and De la Rúa, P.",,,,,,,,,
Jafari,2013,"Jafari, R. and Najafzadeh, N. and Sedaghat, M. M. and Patvizi, P.",,,,,,,,,
Jaimes-Duenez,2017,"Jaimes-Duenez, J. and Triana-Chavez, O. and Mejia-Jaramillo, A. M.",,,,,,,,,
Jaimes-Duenez,2018,"Jaimes-Duenez, J. and Triana-Chavez, O. and Mejia-Jaramillo, A. M.",,,,,,,,,
Jakes,2001,"Jakes, K. A. and O'Donoghue, P. and Munro, M. and Adlard, R.",,,,,,,,,
Jansen,2018,"Jansen, A. M. and Xavier, S. C. D. and Roque, A. L. R.",,,,,,,,,
Jiang,2016,"Jiang, W. and Wang, Y. and Liu, Y. C. and Li, T. and Chen, Y. J. and Wang, S. H. and Han, X. G. and Wang, Q.",,,,,,,,,
Jimenez-Coello,2015,"Jimenez-Coello, M. and Acosta-Viana, K. and Guzman-Marin, E. and Barcenas-Irabien, A. and Ortega-Pacheco, A.",,,,,,,,,
Jimenez-Coello,2012,"Jimenez-Coello, M. and Acosta-Viana, K. Y. and Guzman-Marin, E. and Gomez-Rios, A. and Ortega-Pacheco, A.",,,,,,,,,
Jimenez-Coello,2010,"Jimenez-Coello, M. and Ortega-Pacheco, A. and Guzman-Marin, E. and Guiris-Andrade, D. M. and Martinez-Figueroa, L. and Acosta-Viana, K. Y.",,,,,,,,,
Jimenez-Coello,2008,"Jimenez-Coello, M. and Poot-Cob, M. and Ortega-Pacheco, A. and Guzman-Marin, E. and Ramos-Ligonio, A. and Sauri-Arceo, C. H. and Acosta-Viana, K. Y.",,,,,,,,,
Juliao,2007,"Juliao, F. S. and Souza, Bmps and Freitas, D. S. and Oliveira, L. S. and Larangeira, D. F. and Dias-Lima, A. G. and Souza, V. M. M. and Barrouin-Melo, S. M. and Moreira, E. D. and Paule, B. J. A. and Franke, C. R.",,,,,,,,,
Kaabi,2018,"Kaabi, B. and Zhioua, E.",,,,,,,,,
Kalayou,2011,"Kalayou, S. and Tadelle, H. and Bsrat, A. and Abebe, N. and Haileselassie, M. and Schallig, Hdfh",,,,,,,,,
Kame-Ngasse,2018,"Kame-Ngasse, G. I. and Njiokou, F. and Melachio-Tanekou, T. T. and Farikou, O. and Simo, G. and Geiger, A.",,,,,,,,,
Karakus,2019,"Karakus, M. and Arserim, S. K. and Kasap, O. E. and Pekagirbas, M. and Akuzum, D. and Alten, B. and Toz, S. and Ozbel, Y.",,,,,,,,,
Karakus,2015,"Karakus, M. and Toz, S. and Ertabaklar, H. and Pasa, S. and Atasoy, A. and Arserim, S. K. and Olgen, M. K. and Alkan, M. Z. and Durrant, C. and Ozbel, Y.",,,,,,,,,
Karbowiak,2005,"Karbowiak, G. and Rychlik, L. and Nowakowski, W. and Wita, I.",,,,,,,,,
Karbowiak,2009,"Karbowiak, G. and Stanko, M. and Fricova, J. and Wita, I. and Hapunik, J. and Petko, B.",,,,,,,,,
Karbowiak,2005,"Karbowiak, G. and Wita, I. and Rychlik, L.",,,,,,,,,
Kardjadj,2019,"Kardjadj, M. and Ben-Mahdi, M. H.",,,,,,,,,
Karimuribo,2011,"Karimuribo, E. D. and Morrison, L. J. and Black, A. and Turner, C. M. R. and Kambarage, D. M. and Ballingall, K. T.",,,,,,,,,
Karlsbakk,2004,"Karlsbakk, E.",,,,,,,,,
Karshima,2016,"Karshima, S. N. and Ajogi, I. and Mohammed, G.",,,,,,,,,
Kassa,2011,"Kassa, T. and Eguale, T. and Chaka, H.",,,,,,,,,
Kassahun,2015,"Kassahun, A. and Sadlova, J. and Dvorak, V. and Kostalova, T. and Rohousova, I. and Frynta, D. and Aghova, T. and Yasur-L and au, D. and Lemma, W. and Hailu, A. and Baneth, G. and Warburg, A. and Volf, P. and Votypka, J.",,,,,,,,,
Katakweba,2012,"Katakweba, A. A. S. and Mulungu, L. S. and Eiseb, S. J. and Mahlaba, T. A. and Makundi, R. H. and Massawe, A. W. and Borremans, B. and Belmain, S. R.",,,,,,,,,
Kato,2008,"Kato, H. and Caceres, A. G. and Gomez, E. A. and Mimori, T. and Uezato, H. and Marco, J. D. and Barroso, P. A. and Iwata, H. and Hashiguchi, Y.",,,,,,,,,
Kato,2016,"Kato, H. and Caceres, A. G. and Hashiguchi, Y.",,,,,,,,,
Kato,2007,"Kato, H. and Uezato, H. and Gomez, E. A. and Terayama, Y. and Calvopina, M. and Iwata, H. and Hashiguchi, Y.",,,,,,,,,
Kazimoto,Na,"Kazimoto, T. A. and Amora, S. S. A. and Figueiredo, F. B. and Magalhães, J. M. E. and Freitas, Y. B. N. and Sousa, M. L. R. and Melo, A. E. C. D. S. and Campos, M. P. and Alves, N. D. and Werneck, G. L.",,,,,,,,,
Keck,2003,"Keck, N. and Dereuer, J.",,,,,,,,,
Kelly,2018,"Kelly, E. and Barbosa, A. D. and Gibson-Kueh, S. and Lymbery, A. J.",,,,,,,,,
Kenubih,2015,"Kenubih, A. and Dagnachew, S. and Almaw, G. and Abebe, T. and Takele, Y. and Hailu, A. and Lemma, W.",,,,,,,,,
Khan,2018,"Khan, A. U. and Qureshi, A. S. and Hassan, M. F. and Rehan, S. and Sarfraz, A.",,,,,,,,,
Khanmohammadi,2010,"Khanmohammadi, M. and Fallah, E. and Rahbari, S. and Sohrabi, I. and Farshchian, M. and Hamzavi, F. and Asl, A. M.",,,,,,,,,
Khanmohammadi,2010,"Khanmohammadi, M. and Fallah, E. and Rahbari, S. and Sohrabi, I. and Farshchian, M. and Hamzavi, F. and Asl, A. M.",,,,,,,,,
Kidanemariam,2002,"Kidanemariam, A. and Hadgu, K. and Sahle, M.",,,,,,,,,
Kilic,2008,"Kilic, S. and Babur, C. and Ozkan, A. T. and Mamak, N.",,,,,,,,,
Kissinger,2011,"Kissinger, C. N. and Cameron, S. A. and Thorp, R. W. and White, B. and Solter, L. F.",,,,,,,,,
Kjos,2008,"Kjos, S. A. and Snowden, K. F. and Craig, T. M. and Lewis, B. and Ronald, N. and Olson, J. K.",,,,,,,,,
Kocher,2015,"Kocher, A. and Desquesnes, M. and Kamyingkird, K. and Yangtara, S. and Leboucher, E. and Rodtian, P. and Dargantes, A. and Jittapalapong, S.",,,,,,,,,
Koirala,2004,"Koirala, S. and Karki, P. and Das, M. L. and Parija, S. C. and Karki, B. M. S.",,,,,,,,,
Korner,2005,"Korner, P. and Schmid-Hempel, P.",,,,,,,,,
Kouam,2010,"Kouam, M. K. and Diakou, A. and Kanzoura, V. and Papadopoulos, E. and Gajadhar, A. A. and Theodoropoulos, G.",,,,,,,,,
Kovalenko,2011,"Kovalenko, D. A. and Razakov, S. A. and Ponirovsky, E. N. and Warburg, A. and Nasyrova, R. M. and Ponomareva, V. I. and Fatullaeva, A. A. and Nasereddin, A. and Klement, E. and Alam, M. Z. and Schnur, L. F. and Jaffe, C. L. and Schonian, G. and Baneth, G.",,,,,,,,,
Kozminsky,2015,"Kozminsky, E. and Kraeva, N. and Ishemgulova, A. and Dobakova, E. and Lukes, J. and Kment, P. and Yurchenko, V. and Votypka, J. and Maslov, D. A.",,,,,,,,,
Kramm,2017,"Kramm, M. M. and Gutierrez, M. R. and Luepke, T. D. and Soria, C. and Lopez, R. R. and Cooper, S. M. and Davis, D. S. and Parker, I. D.",,,,,,,,,
Krone,2001,"Krone, O. and Priemer, J. and Streich, J. and Sommer, P. and Langgemach, T. and Lessow, O.",,,,,,,,,
Kubacka,Na,"Kubacka, J. and Gerlée, A. and Foucher, J. and Korb, J. and Podmokła, E.",,,,,,,,,
Kubi,2007,"Kubi, C. and Billiouw, M. and Van den Bossche, P.",,,,,,,,,
Kundu,2013,"Kundu, K. and Tewari, A. K. and Kurup, S. P. and Baidya, S. and Rao, J. R. and Joshi, P.",,,,,,,,,
Laha,2008,"Laha, R. and Sasmal, N. K.",,,,,,,,,
Lamattina,2019,"Lamattina, D. and Berrozpe, P. E. and Casas, N. and Moya, S. L. and Giuliani, M. G. and Costa, S. A. and Arrabal, J. P. and Martinez, M. F. and Rivero, M. R. and Salas, M. and Humeres, C. A. and Liotta, D. J. and Meichtry, M. B. and Salomon, O. D.",,,,,,,,,
Lana,2018,"Lana, R. S. and Michalsky, E. M. and Lopes, L. O. and Lara-Silva, F. O. and Nascimento, J. L. and Pinheiro, L. C. and França-Silva, J. C. and Mendes, T. S. C. and Fortes-Dias, C. L. and Dias, E. S.",,,,,,,,,
Laohasinnarong,2015,"Laohasinnarong, D. and Goto, Y. and Asada, M. and Nakao, R. and Hayashida, K. and Kajino, K. and Kawazu, S. and Sugimoto, C. and Inoue, N. and Namangala, B.",,,,,,,,,
Laohasinnarong,2011,"Laohasinnarong, D. and Thekisoe, O. M. M. and Malele, I. and Namangala, B. and Ishii, A. and Goto, Y. and Kawazu, S. and Sugimoto, C. and Inoue, N.",,,,,,,,,
Laranjeira,2014,"Laranjeira, D. F. and da Matta, V. L. R. and Tomokane, T. Y. and Marcondes, M. and Corbet, C. E. P. and Laurenti, M. D.",,,,,,,,,
Lardeux,2016,"Lardeux, F. and Aliaga, C. and Depickere, S.",,,,,,,,,
Lashari,2018,"Lashari, M. H. and Ghouri, M. T. and Akhtar, M. S. and Kamran, Z. and Chaudhari, M. S. and Ayaz, M. and Farooq, A. A. and Sarwar, G.",,,,,,,,,
Latif,2019,"Latif, A. A. and Ntantiso, L. and de Beer, C.",,,,,,,,,
Lauricella,2005,"Lauricella, M. A. and Stariolo, R. L. and Riarte, A. R. and Segura, E. L. and Gurtler, R. E.",,,,,,,,,
Leal,2018,"Leal, G. G. D. and Carneiro, M. and Pinheiro, A. D. and Marques, L. A. and Ker, H. G. and Reis, A. B. and Coura-Vital, W.",,,,,,,,,
Leca,2015,"Leca, N. F. and Guedes, P. E. B. and Santana, L. N. and Almeida, V. D. and Carvalho, F. S. and Albuquerque, G. R. and Wenceslau, A. A. and Munhoz, A. D. and Silva, F. L.",,,,,,,,,
Ledesma,2017,"Ledesma, D. and Berriatua, E. and Thomas, M. C. and Bernal, L. J. and Ortuno, M. and Benitez, C. and Egui, A. and Papasouliotis, K. and Tennant, B. and Chambers, J. and Infante, J. J. and Lopez, M. C.",,,,,,,,,
Lelisa,2014,"Lelisa, K. and Shimeles, S. and Bekele, J. and Sheferaw, D.",,,,,,,,,
Lemma,2017,"Lemma, W. and Bizuneh, A. and Tekie, H. and Belay, H. and Wondimu, H. and Kassahun, A. and Shiferaw, W. and Balkew, M. and Abassi, I. and Baneth, G. and Hailu, A.",,,,,,,,,
Leontides,2002,"Leontides, L. S. and Saridomichelakis, M. N. and Billinis, C. and Kontos, V. and Koutinas, A. F. and Galatos, A. D. and Mylonakis, M. E.",,,,,,,,,
Leppert,2008,"Leppert, L. L. and Dufty, A. M. and Stock, S. and Oleyar, M. D. and Kaltenecker, G. S.",,,,,,,,,
Levy,2006,"Levy, M. Z. and Bowman, N. M. and Kawai, V. and Waller, L. A. and del Carpio, J. G. C. and Benzaquen, E. C. and Gilman, R. H. and Bern, C.",,,,,,,,,
Lima,2013,"Lima, B. S. and Dantas-Torres, F. and de Carvalho, M. R. and Marinho, J. F. and de Almeida, E. L. and Brito, M. E. F. and Gomes, F. and Br and ao, S. P.",,,,,,,,,
Lima,2012,"Lima, M. M. and Sarquis, O. and de Oliveira, T. G. and Gomes, T. F. and Coutinho, C. and Daflon-Teixeira, N. F. and Toma, H. K. and Britto, C. and Teixeira, B. R. and D'Andrea, P. S. and Jansen, A. M. and Boia, M. N. and Carvalho-Costa, F. A.",,,,,,,,,
Lima-Oliveira,2020,"Lima-Oliveira, T. M. and Fontes, F. V. H. M. and Lilioso, M. and Pires-Silva, D. and Teixeira, M. M. G. and Meza, J. G. V. and Harry, M. and Fileé, J. and Costa, J. and Valença-Barbosa, C. and Folly-Ramos, E. and Almeida, C. E.",,,,,,,,,
Lins,2018,"Lins, T. N. B. and de Souza, I. B. and Barros, Gmmd and dos Santos, C. V. B. and Silva, R. P. E. and Alves, L. C. and de Carvalho, G. A. and Ramos, R. A. N.",,,,,,,,,
