studies,country,Dignostic_method,Tryp_type,Year,study ID
Prevalence of Sodalis glossinidius and different trypanosome species in Glossina palpalis palpalis caught in the Fontem sleeping sickness focus of the southern Cameroon, Cameroon ," polymerase chain reaction', 'PCR "," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma ",2013,"(Takeet et al., 2013)"
Molecular survey of pathogenic trypanosomes in naturally infected Nigerian cattle," Niger', 'Nigeria "," polymerase chain reaction', 'microscopy', 'PCR "," T. evansi', 'T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2017,"(Tamay-Segovia et al., 2017)"
"Presence of Virginia opossum (Didelphis virginiana) and Pic (Triatoma dimidiata) infected with Trypanosoma cruzi in urban areas: preliminary evaluation in the city of Campeche, Mexico", Mexico , NA ," T. cruzi', 'Trypanosoma ",2012,"(Tanczos et al., 2012)"
First Record of Autochthonous Canine Leishmaniasis in Hungary, Hungary ," indirect fluorescent antibody test', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2005,"(Tarello, 2005)"
"Trypanosoma avium incidence, pathogenicity and response to melarsomine in falcons from Kuwait", Kuwait , smears ,Trypanosoma,2012,"(Tasew & Duguma, 2012)"
"Cattle anaemia and trypanosomiasis in western Oromia State, Ethiopia", Ethiopia ," buffy coat ', 'microscopic "," T. congolense', 'T. vivax ",2017,"(Tatard et al., 2017)"
Rodent-borne Trypanosoma from cities and villages of Niger and Nigeria: A special role for the invasive genus Rattus?," Niger', 'Nigeria "," qPCR', 'PCR ",Trypanosoma,2017,"(Tchamdja et al., 2017)"
"Cattle breeding, trypanosomosis prevalence and drug resistance in Northern Togo", Togo ," PCR-RFLP', 'PCR-RFLP ', 'PCR "," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosomosis', 'bovine', 'Trypanosoma ",2017,"(Tehseen et al., 2017)"
"Field investigation of Trypanosoma evansi and comparative analysis of diagnostic tests in horses from Bahawalpur, Pakistan", Pakistan ," CATT', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2015,"(Tehseen et al., 2015)"
"Parasitological, serological and molecular survey of Trypanosoma evansi infection in dromedary camels from Cholistan Desert, Pakistan", Pakistan ," ELISA', 'smears', 'CATT', 'PCR', 'Giemsa stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2001,"(Teixeira et al., 2001)"
Emerging Chagas disease: Trophic network and cycle of transmission of Trypanosoma cruzi from palm trees in the Amazon, Brazil , NA ," T. cruzi', 'Trypanosoma ",2016,"(Teixeira et al., 2016)"
"Seroepidemiology of Leishmania infantum in dogs in the city of Porto Alegre, Rio Grande do Sul, Brazil", Brazil ," ELISA', 'DPP "," Leishmania infantum', 'L. infantum', 'Leishmania ",Na,"(Teles et al., Na)"
Phlebotomine sandfly (Diptera: Psychodidae) diversity and their Leishmania DNA in a hot spot of American Cutaneous Leishmaniasis human cases along the Brazilian border with Peru and Bolivia," Bolivia', 'Brazil', 'Peru "," polymerase chain reaction', 'PCR ",Leishmania,1991,"(Telford & Forrester, 1991)"
HEMOPARASITES OF RACCOONS (PROCYON-LOTOR) IN FLORIDA, NA , smears ,Trypanosoma,2015,"(Terefe et al., 2015)"
"Phenotypic characteristics and trypanosome prevalence of Mursi cattle breed in the Bodi and Mursi districts of South Omo Zone, southwest Ethiopia", Ethiopia , buffy coat  ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2013,"(Thies et al., 2013)"
"Phlebotomine sandfly fauna and natural Leishmania infection rates in a rural area of Cerrado (tropical savannah) in Nova Mutum, State of Mato Grosso in Brazil", Brazil , NA ,Leishmania,2009,"(Thomaz-Soccol et al., 2009)"
"Allochthonous cases of canine visceral leishmaniasis in Parana, Brazil: epidemiological implications", Brazil , PCR ,Leishmania,2012,"(Tiwary et al., 2012)"
"Prevalence of Sand Flies and Leishmania donovani Infection in a Natural Population of Female Phlebotomus argentipes in Bihar State, India", India , PCR ,Leishmania,2017,"(Toepp et al., 2017)"
Leishmania incidence and prevalence in U.S. hunting hounds maintained via vertical transmission, NA , NA ,Leishmania,2012,"(Tognazzo et al., 2012)"
"Probing Mixed-Genotype Infections II: High Multiplicity in Natural Infections of the Trypanosomatid, Crithidia bombi, in Its Host, Bombus spp", Switzerland , NA ," C. bombi ', 'Crithidia bombi', 'Trypanosoma ",2014,"(Tomas-Perez et al., 2014)"
"First report of natural infection in hedgehogs with Leishmania major, a possible reservoir of zoonotic cutaneous leishmaniasis in Algeria", Algeria ," ELISA', 'PCR "," Leishmania spp.', 'L. major', 'Leishmania major', 'Leishmania ",2011,"(Tome et al., 2011)"
Active surveillance of canine visceral leishmaniasis and american trypanossomiasis in rural dogs from non endemic area, Brazil , NA ," Leishmania spp.', 'Leishmania', 'Trypanosoma ",2017,"(Tonelli et al., 2017)"
Leishmania (Viannia) braziliensis infection in wild small mammals in ecotourism area of Brazil, Brazil , PCR ," Leishmania spp.', 'Leishmania ",Na,"(Tonelli et al., Na)"
Aspects of the ecology of phlebotomine sand flies (Diptera: Psychodidae) in the Private Natural Heritage Reserve Sanctuary Caraça, Brazil , NA ,Leishmania,2015,"(Tono et al., 2015)"
"PRESENCE OF TRYPANOSOME SPECIES AND ANEMIC STATUS OF DOGS IN ZURU, NIGERIA"," Niger', 'Nigeria "," blood film', 'microhaematocrit centrifugation technique "," Trypanosoma brucei', 'Trypanosoma ",2000,"(Tortora et al., 2000)"
Chagas seroepidemiology in school children of Jujuy, Argentina , NA ,NA,2013,"(Töz et al., 2013)"
[An epidemiological study on canine leishmaniasis (CanL) and sand flies in Northern Cyprus], Cyprus ," IFAT', 'IFA', 'PCR ",Leishmania,2009,"(Toz et al., 2009)"
"Serological and entomological survey of zoonotic visceral leishmaniasis in Denizli Province, Aegean Region, Turkey", Turkey , NA ,Leishmania,2015,"(Trindade et al., 2015)"
"IMMUNOFLUORESCENT ANTIBODY TEST (IFAT) FOR TRYPANOSOMA CRUZI IN DOGS FROM URBAN AND RURAL AREAS OF PELOTAS, RS", Brazil ," IFAT', 'IFA "," T. cruzi', 'Trypanosoma ",2014,"(Tripodi et al., 2014)"
"Nosema bombi (Microsporidia: Nosematidae) and Trypanosomatid Prevalence in Spring Bumble Bee Queens "" (Hymenoptera: Apidae: Bombus) in Kansas", NA , NA ," Crithidia bombi', 'Trypanosoma ",2018,"(Tripodi et al., 2018)"
Novel multiplex PCR reveals multiple trypanosomatid species infecting North American bumble bees (Hymenoptera: Apidae: Bombus), NA , PCR ," C. bombi ', 'Crithidia bombi', 'Lotmaria passim', 'C. mellificae', 'Trypanosoma ",2018,"(Trueb et al., 2018)"
TRYPANOSOMA CRUZI AND LEISHMANIA SP INFECTION IN WILDLIFE FROM URBAN RAINFOREST FRAGMENTS IN NORTHEAST BRAZIL, Brazil , PCR ," T. cruzi', 'Leishmania', 'Trypanosoma ",2017,"(Tsakmakidis et al., 2017)"
Leishmania infection in rodents in Greece, Greece ," ELISA', 'smears', 'PCR ",Leishmania,2016,"(Tuiran et al., 2016)"
"Detection of Anti-Leishmania Antibodies (Trypanosomatidae) in Canine Populations in the Department of Sucre, Colombia", Colombia , IFA ," Leishmania', 'Trypanosoma ",2013,"(Týč et al., 2013)"
Growing diversity of trypanosomatid parasites of flies (Diptera: Brachycera): Frequent cosmopolitism and moderate host specificity, NA , NA ,NA,2006,"(Ul Hasan et al., 2006)"
"Prevalence of Trypanosoma evansi infection in equines and camels in the Punjab region, Pakistan", Pakistan , NA ," Trypanosoma evansi', 'Trypanosoma ",2019,"(Umeakuana et al., 2019)"
Identification of Trypanosoma brucei gambiense in naturally infected dogs in Nigeria," Niger', 'Nigeria "," microscope', 'PCR', 'ITS1 "," T. evansi', 'T. brucei', 'T. congolense', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'Trypanosoma ",2009,"(Umezawa et al., 2009)"
"TESA-blot for the diagnosis of Chagas disease in dogs from co-endemic regions for Trypanosoma cruzi, Trypanosoma evansi and Leishmania chagasi", Brazil , ELISA ," Trypanosoma evansi', 'Leishmania', 'Trypanosoma ",2018,"(Utuk et al., 2018)"
"A Serologic Survey on Canine Leishmaniasis in Kocaeli, Sakarya, Mersin and Elazig Provinces of Turkey", Turkey ," IFAT', 'IFA ",Leishmania,2010,"(Valadas et al., 2010)"
"Occurrence of antibodies anti-Neospora caninum, anti-Toxoplasma gondii, and anti-Leishmania chagasi in serum of dogs from Para State, Amazon, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'indirect fluorescent antibody test ",Leishmania,2012,"(Valdivia et al., 2012)"
"Natural Leishmania Infection of Lutzomyia auraensis in Madre de Dios, Peru, Detected by a Fluorescence Resonance Energy Transfer-Based Real-Time Polymerase Chain Reaction", Peru ," polymerase chain reaction', 'PCR ",Leishmania,2017,"(Valera et al., 2017)"
Hemoparasites in birds Columbidae from Venezuela 2012-2015, Venezuela , NA ,NA,2001,"(Valkiunas & Iezhova, 2001)"
A comparison of the blood parasites in three subspecies of the yellow wagtail Motacilla flava, Kazakhstan ," microscopic', 'smears ",Trypanosoma,2004,"(Valkiunas et al., 2004)"
Additional observations on blood parasites of birds in Costa Rica, Costa Rica , NA ,Trypanosoma,2011,"(Valkiunas et al., 2011)"
"TWO NEW TRYPANOSOMA SPECIES FROM AFRICAN BIRDS, WITH NOTES ON THE TAXONOMY OF AVIAN TRYPANOSOMES", NA , polymerase chain reaction ,Trypanosoma,2001,"(Valkiunas et al., 2001)"
High prevalence and diversity of blood parasites of passerine birds in Southern Turkmenistan, Turkmenistan , NA ,Trypanosoma,2003,"(Valkiunas et al., 2003)"
High prevalence of blood parasites in hawfinch Coccothraustes coccothraustes, NA ," microscopic', 'blood film "," L. major', 'Trypanosoma ",2005,"(Valkiunas et al., 2005)"
Further observations on the blood parasites of birds in Uganda, Uganda ," microscopic', 'blood film ",Trypanosoma,Na,"(V and erplanck et al., Na)"
Bumble bee parasite prevalence but not genetic diversity impacted by the invasive plant impatiens glandulifera, Belgium , NA ,Crithidia bombi,2017,"(Vargas et al., 2017)"
Viral and intestinal diseases detected in Apis mellifera in Central and Southern Chile," Chile', 'Israel ", PCR ," Lotmaria passim', 'L. passim ",2013,"(Vasquez et al., 2013)"
"Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia", Colombia ," ELISA', 'PCR ",T. cruzi,2017,"(Velo et al., 2017)"
"The current status of phlebotomine sand flies in Albania and incrimination of Phlebotomus neglectus (Diptera, Psychodidae) as the main vector of Leishmania infantum", Albania , NA ," Leishmania infantum', 'Leishmania ",2000,"(Vidal-Acosta et al., 2000)"
Natural infection of Triatominae bugs in Mexican dwellings, Mexico , NA ," T. cruzi', 'Trypanosoma ",2008,"(Villagran et al., 2008)"
"Natural infection and distribution of triatomines (Hemiptera : Reduviidae) in the state of Queretaro, Mexico", Mexico , NA ,Trypanosoma,2011,"(Villagran et al., 2011)"
Pathological alterations and prevalence of Trypanosoma cruzi in opossums from western Mexico, Mexico , NA ," T. cruzi', 'Trypanosoma ",2013,"(Villareal et al., 2013)"
Molecular characterization of Trypanosoma evansi isolates from water buffaloes (Bubalus bubalis) in the Philippines," Egypt', 'Philippines ", PCR ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2018,"(Villena et al., 2018)"
First Report of Trypanosoma cruzi Infection in Salivary Gland of Bats from the Peruvian Amazon, Peru ," microscopic', 'smears', 'microscopy "," T. cruzi', 'Trypanosoma ",2018,"(von Dohlen et al., 2018)"
"Prevalence of antibodies against visceralizing Leishmania spp. in brown rats from Grenada, West Indies", Grenada , NA ," Leishmania spp.', 'Leishmania ",2012,"(Votypka et al., 2012)"
Phylogenetic relationships of trypanosomatids parasitising true bugs (Insecta: Heteroptera) in sub-Saharan Africa," Australia', 'Ethiopia', 'Ghana', 'Kenya ", NA ,NA,2012,"(Votypka et al., 2012)"
Cosmopolitan Distribution of a Trypanosomatid Leptomonas pyrrhocoris, NA , microscopy ,Trypanosoma,2019,"(Votýpka et al., 2019)"
High Prevalence and Endemism of Trypanosomatids on a Small Caribbean Island, NA , NA ,Trypanosoma,2010,"(Votypka et al., 2010)"
Probing into the diversity of trypanosomatid flagellates parasitizing insect hosts in South-West China reveals both endemism and global dispersal, China , PCR ,NA,2018,"(Votypka et al., 2018)"
