studies,country,Dignostic_method,Tryp_type,Year,study ID
"Trypanosoma cruzi and Leishmania infantum chagasi Infection in Wild Mammals from Maranhao State, Brazil", Brazil ," indirect fluorescent antibody test', 'IFAT', 'cultures', 'IFA', 'PCR "," Leishmania infantum', 'L. infantum', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2016,"(da Costa et al., 2016)"
Diversity of bats trypanosomes in hydroeletric area of Belo Monte in Brazilian Amazonia, Brazil , microscopy ," T. cruzi', 'Trypanosoma ",2017,"(da Cruz et al., 2017)"
"Occurrence of Leishmania chagasi, Trypanosoma cruzi, Babesia canis vogeli, Anaplasma platys, and Ehrlichia canis in canine blood donors", NA ," ELISA', 'indirect fluorescent antibody test', 'DPP', 'PCR "," T. cruzi', 'Leishmania', 'Trypanosoma ",2013,"(da Silva et al., 2013)"
"Seroepidemiological aspects of Leishmania spp. in dogs in the Itaguai micro-region, Rio de Janeiro, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'indirect fluorescent antibody test', 'IFAT', 'IFA "," Leishmania spp.', 'Leishmania ",2014,"(da Silva et al., 2014)"
Comparative evaluation of several methods for Canine Visceral Leishmaniasis diagnosis, NA ," ELISA', 'IFAT', 'IFA ",Leishmania,2019,"(Daflon-Teixeira et al., 2019)"
Multiple Approaches to Address Potential Risk Factors of Chagas Disease Transmission in Northeastern Brazil, Brazil , enzyme-linked immunosorbent assay ," T. cruzi', 'Trypanosoma ",2008,"(Dantas-Torres, 2008)"
Canine vector-borne diseases in Brazil, Brazil , NA ," Leishmania infantum', 'Leishmania', 'Trypanosoma ",2006,"(Dantas-Torres et al., 2006)"
Seroepidemiological survey on canine leishmaniasis among dogs from an urban area of Brazil, Brazil , indirect fluorescent antibody test ,Leishmania,2010,"(Dantas-Torres et al., 2010)"
Cutaneous and visceral leishmaniosis in dogs from a rural community in northeastern Brazil, Brazil ," IFAT', 'smears', 'IFA', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",Na,"(Dario et al., Na)"
"Molecular characterization of trypanosoma cruzi samples derived from triatoma vitticeps and panstrongylus geniculatus of the atlantic rainforest, Southeast Brazil", Brazil ," discrete typing units', 'DTUs "," T. cruzi', 'Trypanosoma ",2017,"(Dario et al., 2017)"
Small subunit ribosomal metabarcoding reveals extraordinary trypanosomatid diversity in Brazilian bats, Brazil ," nested PCR', 'PCR "," T. cruzi', 'Trypanosoma ",Na,"(Dario et al., Na)"
"High Trypanosoma spp. diversity is maintained by bats and triatomines in Espírito Santo state, Brazil", Brazil ," cultures', 'microscopy "," T. cruzi', 'Trypanosoma ",2019,"(Darvishi et al., 2019)"
Epidemiological aspects of cutaneous leishmaniasis in Southwest of Iran, Iran , microscopic ," Leishmania spp.', 'Leishmania major', 'Leishmania ",2017,"(Davaasuren et al., 2017)"
The evaluation of GM6-based ELISA and ICT as diagnostic methods on a Mongolian farm with an outbreak of non-tsetse transmitted horse trypanosomosis, Mongolia , ELISA ," T. evansi', 'Trypanosoma ",2014,"(Davami et al., 2014)"
"Molecular Survey on Detection of Leishmania Infection in Rodent Reservoirs in Jahrom District, Southern Iran", Iran ," microscopic', 'smears', 'PCR "," L. major', 'Leishmania major', 'Leishmania ",2000,"(Davison et al., 2000)"
"The occurrence of Trypanosoma evansi in buffaloes in Indonesia, estimated using various diagnostic tests", Indonesia ," ELISA', 'card agglutination test ', 'CATT', 'MHCT "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2014,"(Davoust et al., 2014)"
Detection of Leishmania in Red Foxes (Vulpes vulpes) from Southeastern France Using Real-time Quantitative PCR, France , PCR ," Leishmania infantum', 'Leishmania ",2010,"(Dayo et al., 2010)"
Prevalence and incidence of bovine trypanosomosis in an agro-pastoral area of southwestern Burkina Faso, Burkina Faso ," buffy coat ', 'BCT "," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2009,"(de Almeida et al., 2009)"
"Seroepidemiological survey of canine leishmaniasis in endemic areas of Cuiaba, State of Mato Grosso", Brazil , NA ,Leishmania,2010,"(de Almeida et al., 2010)"
"Prevalence and epidemiology of visceral leishmaniasis in dogs and humans in the city Cuiaba, Mato Grosso, Brazil", Brazil , NA ,Leishmania,2012,"(de Almeida et al., 2012)"
"Canine visceral leishmaniasis: seroprevalence and risk factors in Cuiaba, Mato Grosso, Brazil", Brazil ," IFAT', 'IFA ",Leishmania,2014,"(de Almeida Curi et al., 2014)"
Factors Associated with the Seroprevalence of Leishmaniasis in Dogs Living around Atlantic Forest Fragments, Brazil , NA ,Leishmania,2007,"(de Avelar et al., 2007)"
"Endosymbionts of Ctenocephalides felis felis (Siphonaptera : Pulicidae) obtained from dogs captured in Belo Horizonte, Minas Gerais, Brazil", Brazil , NA ,NA,2018,"(de Carvalho et al., 2018)"
High seroprevalence and peripheral spatial distribution of visceral leishmaniasis among domestic dogs in an emerging urban focus in Central Brazil: a cross-sectional study, Brazil , enzyme-linked immunosorbent assay ,NA,2007,"(de Carvalho et al., 2007)"
"Phlebotomine sandfly species from an American visceral leishmaniasis area in the Northern Rainforest region of Pernambuco State, Brazil", Brazil , NA ,Leishmania,2010,"(de Carvalho et al., 2010)"
"Natural Leishmania infantum infection in Migonemyia migonei (Franca, 1920) (Diptera:Psychodidae:Phlebotominae) the putative vector of visceral leishmaniasis in Pernambuco State, Brazil", Brazil , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",Na,"(de Freitas et al., Na)"
"Geographical variation in clinical signs and prevalence of Leishmania sp. infection among dogs in Fortaleza, Ceará State, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'PCR-RFLP', 'PCR-RFLP.', 'PCR-RFLP ', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2011,"(de la Rua et al., 2011)"
"High genetic diversity in a single population of Triatoma sanguisuga (LeConte, 1855) inferred from two mitochondrial markers: Cytochrome b and 16S ribosomal DNA", NA , NA ," T. cruzi', 'Trypanosoma ",2017,"(de Lima et al., 2017)"
Serodiagnosis of visceral and cutaneous leishmaniasis in human and canine populations living in Indigenous Reserves in the Brazilian Amazon Region, Brazil ," ELISA', 'indirect fluorescent antibody test', 'IFAT', 'IFA', 'DPP "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2018,"(de Matos et al., 2018)"
Antibodies anti-trypanosomatides in domestic cats in Parana: who is at highest risk of infection?, NA ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA "," Leishmania spp.', 'Leishmania', 'Trypanosoma ",2015,"(de Mendonca et al., 2015)"
Leishmania (infantum) chagasi in canine urinary sediment, Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'cultures', 'DPP ",Leishmania,2004,"(de Menezes et al., 2004)"
Trypanosoma evansi in inbred and Swiss-Webster mice: distinct aspects of pathogenesis, Brazil , NA ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2015,"(de Oliveira et al., 2015)"
"Leishmania amazonensis DNA in wild females of Lutzomyia cruzi (Diptera: Psychodidae) in the state of Mato Grosso do Sul, Brazil", Brazil , NA ," Leishmania spp ', 'Leishmania ",2010,"(de Oliveira et al., 2010)"
"Seroprevalence and risk factors for canine visceral leishmaniasis in the endemic area of Dias D'Avila, State of Bahia, Brazil", Brazil , immunoenzymatic assay ,NA,2017,"(de Oliveira et al., 2017)"
"Seroepidemiology of Leishmania spp. in equids from Uberlandia, Minas Gerais, Brazil", Brazil , NA ," Leishmania spp.', 'Leishmania ",2011,"(de Padua et al., 2011)"
"First record of Trypanosoma sp (Protozoa: Kinetoplastida) in tuvira (Gymnotus aff. inaequilabiatus) in the Pantanal wetland, Mato Grosso do Sul State, Brazil"," Brazil', 'Paraguay ", smears ,Trypanosoma,2010,"(de Paula et al., 2010)"
"Occurrence of positivity for Trypanosoma cruzi in triatomine from municipalities in Southeastern Brazil, from 2002 to 2004", Brazil , NA ,Trypanosoma,2017,"(de Rezende et al., 2017)"
Detection of Leishmania spp. in Bats from an Area of Brazil Endemic for Visceral Leishmaniasis, Brazil ," qPCR', 'PCR "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2015,"(de Seabra et al., 2015)"
"Toxoplasma gondii, Neospora caninum and Leishmania spp. serology and Leishmania spp. PCR in dogs from Pirassununga, SP", NA ," IFAT', 'IFA', 'polymerase chain reaction', 'PCR "," Leishmania spp.', 'Leishmania ",2014,"(de Sousa et al., 2014)"
"Serological detection of Toxoplasma gondii, Leishmania infantum and Neospora caninum in cats from an area endemic for leishmaniasis in Brazil", Brazil ," indirect fluorescent antibody test', 'IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",2000,"(de Thoisy et al., 2000)"
A survey of hemoparasite infections in free-ranging mammals and reptiles in French Guiana, NA , smears ,Trypanosoma,2018,"(Deiro et al., 2018)"
"Antibody occurrence of Anti-Toxoplasma gondii, Leishmania sp and Ehrlichia canis in dogs in Bahia State", NA ," enzyme-linked immunosorbent assay', 'ELISA "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2010,"(del Puerto et al., 2010)"
Trypanosoma cruzi Lineages Detected in Congenitally Infected Infants and Triatoma infestans from the Same Disease-Endemic Region under Entomologic Surveillance in Paraguay, Paraguay , polymerase chain reaction ,Trypanosoma,2004,"(Delafosse & Doutoum, 2004)"
Prevalence of Trypanosoma evansi infection and associated risk factors in camels in eastern Chad, Chad ," CATT', 'BCT', 'CATT/T evansi "," Trypanosoma evansi', 'Trypanosoma ",2006,"(Delafosse et al., 2006)"
Epidemiology of Trypanosoma vivax infection in cattle in the tse-tse free area of Lake Chad, Chad , NA ," Trypanosoma vivax', 'Trypanosoma ",2015,"(Demir & Karakus, 2015)"
"Natural Leishmania infection of Phlebotomus sergenti (Diptera: Phlebotominae) in an endemic focus of cutaneous leishmaniasis in Sanliurfa, Turkey", Turkey , NA ," L. tropica', 'Leishmania tropica', 'Leishmania ",2014,"(Dennis et al., 2014)"
"Sodalis glossinidius prevalence and trypanosome presence in tsetse from Luambe National Park, Zambia", Zambia , PCR ," T. brucei', 'T. congolense', 'T. godfreyi', 'T. vivax', 'Trypanosoma brucei', 'T. simiae', 'Trypanosoma ",2009,"(Desquesnes et al., 2009)"
"Antibody-ELISA for Trypanosoma evansi: Application in a serological survey of dairy cattle, Thailand, and validation of a locally produced antigen"," France', 'Thailand "," ELISA', 'PCR "," T. evansi', 'Trypanosoma evansi', 'bovine', 'Trypanosoma ",2001,"(Deviche et al., 2001)"
Interspecific variability of prevalence in blood parasites of adult passerine birds during the breeding season in Alaska, NA ," microscopic', 'smears ",Trypanosoma,2018,"(Dhaouadi et al., 2018)"
Epidemiological survey of vector-borne infections in equids from northern Tunisia, Tunisia , NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2006,"(Dia, 2006)"
Parasites of the camel in Burkina Faso, Burkina Faso , NA ,NA,2009,"(Diakou et al., 2009)"
Specific anti-Leishmania spp. antibodies in stray cats in Greece, Greece , enzyme-linked immunosorbent assay ," Leishmania spp.', 'Leishmania ",1994,"(Diall et al., 1994)"
EVALUATION OF A DIRECT SEROLOGICAL CARD AGGLUTINATION-TEST IN THE DIAGNOSIS OF CAMEL TRYPANOSOMOSIS DUE TO TRYPANOSOMA-EVANSI, Mali ," card agglutination test ', 'CATT "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2008,"(Dias et al., 2008)"
"Ecological aspects of Rhodnius nasutus Stal, 1859 (Hemiptera: Reduviidae: Triatominae) in palms of the Chapada do Araripe in Ceara, Brazil", Brazil , NA ," T. cruzi', 'Trypanosoma ",2018,"(Dias et al., 2018)"
"Variables associated with the prevalence of anti-Leishmania spp. antibodies in dogs on the tri-border of Foz do Iguacu, Parana, Brazil"," Argentina', 'Brazil', 'Paraguay "," ELISA', 'IFA', 'immunoenzymatic assay', 'DPP "," Leishmania spp.', 'Leishmania ",2014,"(Diaz-Saez et al., 2014)"
High rates of Leishmania infantum and Trypanosoma nabiasi infection in wild rabbits (Oryctolagus cuniculus) in sympatric and syntrophic conditions in an endemic canine leishmaniasis area: Epidemiological consequences, Spain , NA ," Leishmania infantum', 'L. infantum', 'Leishmania', 'Trypanosoma ",2015,"(Dincer et al., 2015)"
Potential Animal Reservoirs of Toscana Virus and Coinfections with Leishmania infantum in Turkey, Turkey , NA ," Leishmania infantum', 'Leishmania ",2016,"(Dincer et al., 2016)"
Canine Infections and Partial S Segment Sequence Analysis of Toscana Virus in Turkey," Cyprus', 'France', 'Spain', 'Turkey "," nested PCR', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2007,"(Diniz et al., 2007)"
Surveillance for zoonotic vector-borne infections using sick dogs from southeastern Brazil," Brazil', 'Venezuela ", polymerase chain reaction ,Leishmania,2006,"(Dogan et al., 2006)"
Sero-epidemological survey on canine visceral leishmaniasis and the distribution of sandfly vectors in northwestern Turkey: Prevention strategies for childhood visceral leishmaniasis, Turkey ," ELISA', 'IFAT', 'IFA "," Leishmania infantum', 'Leishmania ",2001,"(Dondji et al., 2001)"
"Visceral leishmaniasis in Cameroon. Serepiderniological survey in Kousseri area, northern Cameroon", Cameroon , NA ,Leishmania,2012,"(Dorn et al., 2012)"
Low Prevalence of Chagas Parasite Infection in a Nonhuman Primate Colony in Louisiana, Georgia , PCR ," T. cruzi', 'Trypanosoma ",Na,"(Dos Santos et al., Na)"
"Trypanosoma sp. diversity in Amazonian bats (Chiroptera; Mammalia) from Acre State, Brazil", Brazil , polymerase chain reaction ," T. cruzi', 'Trypanosoma ",2005,"(dos Santos et al., 2005)"
"Prevalence of canine infection from endemic areas of American cutaneous leishmaniasis in Paracambi District, Rio de Janeiro State, between 1992 and 1993", NA ," enzyme-linked immunosorbent assay', 'ELISA ",Leishmania,2010,"(dos Santos et al., 2010)"
"Prevalence of anti-Leishmania spp antibodies in dogs from Garanhuns, in the middle scrub zone (Agreste) of Pernambuco", NA ," indirect fluorescent antibody test', 'IFAT', 'IFA', 'polymerase chain reaction "," Leishmania infantum', 'Leishmania spp ', 'Leishmania ",2010,"(Duarte et al., 2010)"
"Survey of infectious and parasitic diseases in stray cats at the Lisbon Metropolitan Area, Portugal", Portugal , NA ," Leishmania infantum', 'Leishmania ",2016,"(Dumitrache et al., 2016)"
The quest for canine leishmaniasis in Romania: the presence of an autochthonous focus with subclinical infections in an area where disease occurred, Romania ," ELISA', 'PCR ",Leishmania,2006,"(Duprey et al., 2006)"
"Canine visceral leishmaniasis, United States and Canada, 2000-2003", Canada , NA ," Leishmania spp.', 'Leishmania ",2017,"(Durrani et al., 2017)"
"Epidemiological study of common diseases and their risk factors in camels in South Punjab, Pakistan", Pakistan , polymerase chain reaction ," Trypanosoma evansi', 'Trypanosoma ",2011,"(Durrani et al., 2011)"
Prevalence of Cutaneous Leishmaniasis in Humans and Dogs in Pakistan, Pakistan ," polymerase chain reaction', 'PCR "," Leishmania tropica', 'Leishmania ",Na,"(Dye et al., Na)"
SEROLOGICAL DIAGNOSIS OF LEISHMANIASIS - ON DETECTING INFECTION AS WELL AS DISEASE, France ," indirect fluorescent antibody test', 'IFAT', 'IFA "," Leishmania infantum', 'Leishmania ",1991,"(Earle et al., 1991)"
REGIONAL AND SEASONAL DISTRIBUTION OF AVIAN BLOOD PARASITES FROM NORTHERN SOUTH-AFRICA, South Africa , NA ,Trypanosoma,1991,"(Earle et al., 1991)"
"THE PREVALENCE OF BLOOD PARASITES IN HELMETED GUINEAFOWLS, NUMIDA-MELEAGRIS, IN THE KRUGER-NATIONAL-PARK", NA , smears ,Trypanosoma,2016,"(Ebani et al., 2016)"
Serological survey on some pathogens in wild brown hares (Lepus europaeus) in Central Italy, Italy , NA ,Leishmania,2001,"(Ebbert et al., 2001)"
Trypanosomatid prevalence and host habitat choice in woodland Drosophila, NA , NA ,Trypanosoma,2017,"(Echchakery et al., 2017)"
Molecular detection of Leishmania infantum and Leishmania tropica in rodent species from endemic cutaneous leishmaniasis areas in Morocco, Morocco ," PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'L. tropica', 'Leishmania tropica', 'Leishmania ",2019,"(Echeverria et al., 2019)"
Clinical and therapeutic aspects of an outbreak of canine trypanosomiasis, Brazil ," smears', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2010,"(Efrem et al., 2010)"
"Bovine trypanosomosis in Gimbi district of Western Oromia, Ethiopia", Ethiopia , NA ," Trypanosoma congolense', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2018,"(Elhaig & Sallam, 2018)"
Molecular survey and characterization of Trypanosoma evansi in naturally infected camels with suspicion of a Trypanozoon infection in horses by molecular detection in Egypt," Egypt', 'India ", PCR ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2016,"(Elhaig et al., 2016)"
Molecular Confirmation of Trypanosoma evansi and Babesia bigemina in Cattle from Lower Egypt," Brazil', 'Egypt', 'Turkey "," PCR', 'ITS1 "," T. evansi', 'T. brucei', 'Trypanosoma evansi', 'Trypanosomosis', 'Trypanosoma ",2019,"(Elmayan et al., 2019)"
"High prevalence of Trypanosoma cruzi infection in shelter dogs from southern Louisiana, USA", NA ," ELISA', 'western blot', 'PCR "," T. cruzi', 'Trypanosoma ",2013,"(Elshafie et al., 2013)"
Active infection and morphometric study of Trypanosoma evansi among horses in Peninsula Malaysia, Malaysia ," polymerase chain reaction', 'PCR', 'Giemsa-stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2011,"(Enwezor et al., 2011)"
"Surveillance and management of trypanosomiasis in cattle herds in Kauru area, Kaduna State, Nigeria"," Niger', 'Nigeria "," buffy coat ', 'Giemsa stained "," T. congolense', 'Trypanosoma vivax', 'Trypanosoma ",2006,"(Enyaru et al., 2006)"
Detection of T.b. rhodesiense trypanosomes in humans and domestic animals in south east Uganda by amplification of serum resistance-associated gene, Uganda ," polymerase chain reaction', 'PCR "," Trypanosoma brucei', 'Trypanosoma ",2016,"(Es-Sette et al., 2016)"
Molecular epidemiology of phlebovirus in four provinces in Morocco," France', 'Morocco', 'Spain ", PCR ,NA,2006,"(Estrada-Franco et al., 2006)"
"Human Trypanosoma cruzi infection and seropositivity in dogs, Mexico", Mexico , NA ," T. cruzi', 'Trypanosoma ",2006,"(Fallah et al., 2006)"
Epidemiological aspects of canine visceral leishmaniosis in Azarshahr a new endemic focus of kala-azar in the Islamic Republic of Iran, Iran ," direct agglutination test', 'DAT', 'IFAT', 'IFA "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2006,"(Fallah et al., 2006)"
"Screening infection of leishmania infantum in rodents trapped in Azarshahr County, Northwest of Iran", Iran ," direct agglutination test', 'DAT', 'microscopic', 'indirect fluorescent antibody test', 'IFAT', 'IFA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2011,"(Fallah et al., 2011)"
Serological survey and comparison of two polymerase chain reaction (PCR) assays with enzyme-linked immunosorbent assay (ELISA) for the diagnosis of canine visceral leishmaniasis in dogs, NA ," buffy coat ', 'enzyme-linked immunosorbent assay', 'ELISA', 'microscopic', 'polymerase chain reaction', 'PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania ",2010,"(Faye et al., 2010)"
Canine visceral leishmaniasis caused by Leishmania infantum in Senegal: risk of emergence in humans?, Senegal , PCR ," Leishmania infantum', 'Leishmania ",2001,"(Faye et al., 2001)"
Prevalence and incidence of trypanosomosis in horses and donkeys in the Gambia, Gambia ," polymerase chain reaction', 'PCR "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2011,"(Felipe et al., 2011)"
"Leishmania infection in humans, dogs and sandflies in a visceral leishmaniasis endemic area in Maranhao, Brazil", Brazil , polymerase chain reaction ,Leishmania,2017,"(Fereig et al., 2017)"
"Seroprevalence of Babesia bovis, B-bigemina, Trypanosoma evansi, and Anaplasma marginale antibodies in cattle in southern Egypt", Egypt , enzyme-linked immunosorbent assay ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2018,"(Fern and es et al., 2018)"
"Occurrence and risk factors of zoonoses in dogs and owners in Sertao, Paraiba State, Northeastern Brazil", Brazil , NA ," Leishmania', 'Trypanosoma ",2008,"(Fern and ez-Bellon et al., 2008)"
Little evidence of seasonal variation of natural infection by Leishmania infantum in dogs in Spain, Spain ," ELISA', 'microscopic', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Ferreira et al., 2015)"
Mixed infection of Leishmania infantum and Leishmania braziliensis in rodents from endemic urban area of the New World, Brazil , NA ," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2017,"(Ferreira et al., 2017)"
"Leishmania (V.) braziliensis infecting bats from Pantanal wetland, Brazil: First records for Platyrrhinus lineatus and Artibeus planirostris", Brazil , PCR ," Leishmania spp.', 'Leishmania ",2018,"(Ferreira et al., 2018)"
"Detection and genotyping of Trypanosoma cruzi from acai products commercialized in Rio de Janeiro and Para, Brazil", Brazil ," DTUs', 'PCR "," T. cruzi', 'Trypanosoma ",2018,"(Ferroglio et al., 2018)"
Epidemiological evaluation of Leishmania infantum zoonotic transmission risk in the recently established endemic area of Northwestern Italy, Italy , NA ," Leishmania infantum', 'Leishmania ",2018,"(Fidalgo et al., 2018)"
Insect vectors of Chagas disease (Trypanosoma cruzi) in Northeastern Brazil, Brazil , NA ,Trypanosoma,2010,"(Figueiredo et al., 2010)"
Efficacy of an indirect immunofluorescence test in the diagnosis of canine leishmaniosis, NA , PCR ,Leishmania,2010,"(Figueiredo et al., 2010)"
CANINE VISCERAL LEISHMANIASIS: STUDY OF METHODS FOR THE DETECTION OF IgG IN SERUM AND ELUATE SAMPLES, Brazil ," ELISA', 'indirect fluorescent antibody test', 'IFAT', 'IFA ",Leishmania,2016,"(Figueiredo et al., 2016)"
Serological Diagnosis of Feline Tegumentary Leishmaniasis by Indirect Immunofluorescence (IFI) and Enzyme-Linked Immunosorbent Assay (ELISA) in an Endemic Area in Brazil," Brazil', 'France', 'Greece', 'Iran', 'Israel', 'Italy', 'Portugal', 'Spain "," enzyme-linked immunosorbent assay', 'ELISA', 'xenodiagnosis ",Leishmania,2015,"(Fikru et al., 2015)"
"Trypanosome infection in dromedary camels in Eastern Ethiopia: Prevalence, relative performance of diagnostic tools and host related risk factors", Ethiopia ," CATT', 'PCR', 'CATT/T.evansi', 'Giemsa stained "," T. evansi', 'T. vivax ",2012,"(Fikru et al., 2012)"
Widespread occurrence of Trypanosoma vivax in bovines of tsetse- as well as non-tsetse-infested regions of Ethiopia: A reason for concern?, Ethiopia ," polymerase chain reaction', 'PCR "," T. congolense', 'T. vivax', 'Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2014,"(Fokin et al., 2014)"
Free-living ciliates as potential reservoirs for eukaryotic parasites: occurrence of a trypanosomatid in the macronucleus of Euplotes encysticus, India ," cultures', 'microscopy ",Trypanosoma,2011,"(Fouks & Lattorff, 2011)"
Recognition and Avoidance of Contaminated Flowers by Foraging Bumblebees (Bombus terrestris), NA , NA ," C. bombi ', 'Crithidia bombi ",2016,"(Fraga et al., 2016)"
The Rapid Test Based on Leishmania infantum Chimeric rK28 Protein Improves the Diagnosis of Canine Visceral Leishmaniasis by Reducing the Detection of False-Positive Dogs, Brazil ," ELISA', 'DPP', 'PCR "," Leishmania infantum', 'Leishmania ",Na,"(França-Silva et al., Na)"
"Epidemiology of canine visceral leishmaniosis in the endemic area of Montes Claros Municipality, Minas Gerais State, Brazil", Brazil ," IFAT', 'IFA ",Leishmania,2002,"(Freitas et al., 2002)"
"Species diversity and flagellate infections in the sand fly fauna near Porto Grande, State of Amapa, Brazil (Diptera : Psychodidae. Kinetoplastida : Trypanosomatidae)", Brazil , NA ," Leishmania', 'Trypanosoma ",2018,"(Freitas et al., 2018)"
"Natural infection by Trypanosoma cruzi in triatomines and seropositivity for Chagas disease of dogs in rural areas of Rio Grande do Norte, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'polymerase chain reaction ",Trypanosoma,2016,"(Fujimori et al., 2016)"
"Prevalence and Associated Factors of Canine Visceral Leishmaniasis in an Endemic Area of Mato Grosso, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA "," Leishmania infantum', 'Leishmania ",2000,"(Fuxa et al., 2000)"
"Prevalence of a trypanosomatid in the southern green stink bug, Nezara viridula", NA , microscope ,NA,2017,"(Galaviz-Silva et al., 2017)"
"Prevalence of Trypanosoma cruzi infection in dogs and small mammals in Nuevo Leon, Mexico"," Argentina', 'Mexico ", PCR ," T. cruzi', 'Trypanosoma ",2010,"(Galvez et al., 2010)"
Emerging trends in the seroprevalence of canine leishmaniosis in the Madrid region (central Spain), Spain ," IFAT', 'IFA "," Leishmania infantum', 'Leishmania ",2017,"(Galvis-Ovallos et al., 2017)"
"Ecological parameters of the (S)-9-methylgermacrene-B population of the Lutzomyia longipalpis complex in a visceral leishmaniasis area in Sao Paulo state, Brazil", Brazil ," nested PCR', 'PCR "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2015,"(Gao et al., 2015)"
Development of a LAMP assay for detection of Leishmania infantum infection in dogs using conjunctival swab samples, China ," ELISA', 'LAMP', 'microscopy', 'PCR "," Leishmania infantum', 'L. infantum', 'L. tropica', 'L. major', 'Leishmania ",2006,"(Garcia et al., 2006)"
Trypanosomiasis in Venezuelan water buffaloes: association of packed-cell volumes with seroprevalence and current trypanosome infection, Venezuela ," IFAT', 'IFA', 'PCR', 'microhaematocrit centrifugation technique "," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2009,"(Garcia et al., 2009)"
"Molecular characterization of Trypanosoma vivax in naturally-infected sheep from two farms at San Fernando and Biruaca Counties, Apure State, Venezuela", Venezuela ," PCR-RFLP', 'PCR-RFLP ', 'PCR "," T. vivax', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2018,"(Garcia et al., 2018)"
Remarkable richness of trypanosomes in tsetse flies (Glossina morsitans morsitans and Glossina pallidipes) from the Gorongosa National Park and Niassa National Reserve of Mozambique revealed by fluorescent fragment length barcoding (FFLB), Mozambique , microscopic ," T. suis', 'T. godfreyi', 'T. vivax', 'Trypanosoma congolense', 'T. simiae', 'Trypanosoma ",2016,"(Garcia et al., 2016)"
"One Health Interactions of Chagas Disease Vectors, Canid Hosts, and Human Residents along the Texas-Mexico Border", Mexico , PCR ," T. cruzi', 'Trypanosoma ",Na,"(García et al., Na)"
"Evidence of Leishmania infantum infection in rabbits (Oryctolagus cuniculus) in a natural area in Madrid, Spain", Spain ," IFAT', 'IFA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2010,"(Gari et al., 2010)"
"Comparative diagnosis of parasitological, serological, and molecular tests in dourine-suspected horses", Ethiopia ," CATT', 'PCR "," Trypanosoma evansi', 'Trypanosoma ",2004,"(Garvin et al., 2004)"
Prevalence of hematozoa in overwintering American redstarts (Setophaga ruticilla): No evidence for local transmission, NA , smears ,Trypanosoma,2006,"(Garvin et al., 2006)"
Blood parasites of Nearctic-Neotropical migrant passerine birds during spring trans-gulf migration: Impact on host body condition, Mexico , NA ,Trypanosoma,2002,"(Gavgani et al., 2002)"
Domestic dog ownership in Iran is a risk factor for human infection with Leishmania infantum, Iran , direct agglutination test ," Leishmania infantum', 'Leishmania ",2004,"(Gebre-Michael et al., 2004)"
